Job Title,Required Skills,Key Responsibilities,Department,Location
Senior Software Engineer,"Python, Java, RESTful APIs, Microservices","Develop and maintain enterprise software solutions, collaborate with cross-functional teams, ensure performance and scalability",IBM Cloud & AI,San Francisco
Software Engineer,"Python, JavaScript, Cloud Computing, DevOps","Design and develop scalable cloud applications, optimize system performance, integrate with IBM Cloud services",IBM Research,New York
Data Scientist,"Python, R, Machine Learning, NLP, Big Data","Analyze large datasets, build predictive models, work with AI frameworks, provide data-driven insights",IBM Watson AI,Boston
Data Scientist,"SQL, Python, Deep Learning, Business Analytics","Develop AI-driven solutions, process structured and unstructured data, collaborate with product teams",IBM Cloud & AI,Chicago
DevOps Engineer,"Kubernetes, Docker, Terraform, CI/CD","Automate and manage cloud infrastructure, ensure high availability, optimize deployments on IBM Cloud",IBM Hybrid Cloud,Seattle
DevOps Engineer,"Linux, Ansible, Jenkins, Cloud Security","Implement secure CI/CD pipelines, monitor and troubleshoot production environments, improve system resilience",IBM Research,San Jose
Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Assessment","Monitor and analyze security threats, conduct vulnerability assessments, implement security best practices",IBM Security,Washington D.C.
AI Research Scientist,"Deep Learning, Reinforcement Learning, Python, TensorFlow","Develop state-of-the-art AI models, conduct applied AI research, optimize model efficiency",IBM Watson AI,Cambridge
Cloud Architect,"AWS, IBM Cloud, Kubernetes, Infrastructure as Code","Design and implement cloud architectures, migrate enterprise workloads, ensure cloud security and compliance",IBM Hybrid Cloud,Dallas
Marketing Specialist,"SEO, Content Strategy, Digital Marketing, Branding","Develop marketing campaigns for IBM solutions, analyze market trends, drive engagement across digital platforms",IBM Global Marketing,Los Angeles
